Media;Variancia;Skewness;Kurtosis;Energia;Entropia;Pesovivo
246.19;2168.38;-5.1;23.99;1820760758098.0;0.22;45.2
247.44;1869.59;-5.55;28.78;1838689051426.0;0.19;38.5
239.89;3624.92;-3.73;11.94;108335152928.0;0.32;41.2
250.25;1187.94;-7.12;48.74;1879590492226.0;0.13;45
250.81;1049.67;-7.61;55.94;1887887622898.0;0.12;40.75
252.0;756.22;-9.05;79.99;1905495504370.0;0.09;34.6
251.34;920.8;-8.16;64.62;1895620220050.0;0.11;37.6
248.91;1515.05;-6.24;36.92;1859962868530.0;0.16;40.4
251.73;822.97;-8.66;73.01;1901490071890.0;0.1;34.9
250.49;1129.26;-7.32;51.58;1882963412734.0;0.13;40.2
252.19;707.77;-9.37;85.87;1908402798880.0;0.09;39.1
248.2;1687.31;-5.88;32.54;1849626769696.0;0.18;36
251.31;926.76;-8.13;64.16;1895262111970.0;0.11;43.1
250.92;1024.8;-7.71;57.46;1889379614866.0;0.12;36.6
249.69;1325.59;-6.71;43.05;1871331257890.0;0.15;29.8
244.71;2517.75;-4.67;19.83;1799797111186.0;0.24;36.6
243.31;2844.85;-4.34;16.86;111260600050.0;0.27;39.1
238.33;3972.95;-3.52;10.37;107029963378.0;0.35;45.3
242.91;2936.2;-4.26;16.15;110918016128.0;0.28;37.9
239.79;3647.24;-3.72;11.83;108251468320.0;0.33;39.8
245.95;2226.61;-5.02;23.2;113579168978.0;0.22;41.4
246.43;2111.89;-5.18;24.79;1824149999506.0;0.21;32.2
249.8;1299.74;-6.78;44.03;1872882001696.0;0.14;30.7
244.89;2475.35;-4.72;20.27;1802341442866.0;0.24;42.2
243.36;2833.69;-4.35;16.95;111302474146.0;0.27;32.75
245.69;2288.52;-4.94;22.42;1813552003666.0;0.23;38.3
240.35;3520.97;-3.8;12.47;108725010976.0;0.32;42.2
246.09;2192.68;-5.07;23.66;1819302507040.0;0.22;39.2
242.43;3047.9;-4.16;15.34;110499143680.0;0.28;29
249.78;1304.83;-6.77;43.84;1872576567880.0;0.14;38.6
248.15;1698.76;-5.85;32.28;115558707976.0;0.18;32
246.93;1993.35;-5.35;26.62;1831262788450.0;0.2;40.4
247.34;1894.59;-5.51;28.32;114824322146.0;0.19;34
240.89;3399.7;-3.89;13.13;109179794440.0;0.31;30.35
243.81;2727.89;-4.45;17.84;111699235810.0;0.26;30.5
241.43;3275.69;-3.98;13.85;109644845266.0;0.3;37
237.34;4191.47;-3.39;9.51;106210467490.0;0.36;42.8
238.27;3985.41;-3.51;10.31;106983231616.0;0.35;28.7
240.63;3456.94;-3.85;12.81;108965145728.0;0.31;33.4
237.12;4240.35;-3.37;9.34;106027154560.0;0.37;44.25
240.0;3599.47;-3.75;12.06;108430618978.0;0.32;42.4
244.86;2482.42;-4.71;20.19;1801917115336.0;0.24;32.85
240.56;3473.12;-3.84;12.72;108904436296.0;0.31;34.8
231.76;5385.24;-2.84;6.07;101733563080.0;0.44;42.3
236.31;4415.82;-3.27;8.72;105369116960.0;0.38;43.2
238.3;3979.75;-3.51;10.34;107004470386.0;0.35;38.1
238.39;3959.84;-3.52;10.42;107079148360.0;0.35;37.6
240.83;3412.95;-3.88;13.05;109130122120.0;0.31;42.7
242.97;2922.6;-4.27;16.24;1775307101926.0;0.28;50.2
245.25;2391.63;-4.82;21.19;1807364471266.0;0.23;45.25
244.77;2503.88;-4.69;19.97;1800629369986.0;0.24;46.75
245.8;2260.28;-4.98;22.77;1815246318850.0;0.22;25.2
249.04;1484.31;-6.31;37.81;1861807289416.0;0.16;46.6
243.29;2848.91;-4.34;16.82;1779926038816.0;0.27;74.6
249.66;1332.01;-6.69;42.81;1870945788898.0;0.15;38
247.54;1847.64;-5.59;29.2;1840006147360.0;0.19;47.55
249.76;1308.45;-6.76;43.7;1872359580706.0;0.14;41.95
248.65;1578.55;-6.1;35.19;1856152374898.0;0.17;41.9
246.59;2073.3;-5.23;25.36;1826465445298.0;0.21;48.5
246.51;2092.34;-5.2;25.08;1825322973106.0;0.21;39.8
249.39;1399.51;-6.52;40.46;1866895360648.0;0.15;34.95
246.08;2194.61;-5.06;23.62;1818956518354.0;0.22;42.2
244.02;2679.94;-4.5;18.26;1790064840736.0;0.26;39.75
