,NameImage,centroid-0,centroid-1,orientation,axis_major_length,axis_minor_length,bbox-0,bbox-1,bbox-2,bbox-3,AOL
0,045.png,680.6285129803712,1292.7313006348124,1.185019790954927,668.454826486024,285.96528082681226,490,950,904,1563,"7,92"
1,049.png,647.5258343874672,1056.260572151406,1.2299962908903956,598.8194427108674,271.2711065170926,485,736,866,1312,"6,49"
2,059.png,762.0590510026742,964.6585007663548,1.0711987955203206,813.4563936764379,322.5720704195309,513,577,1063,1318,"7,32"
3,054.png,572.2639913798733,925.9670976730011,1.0517601384597421,583.9569084408965,246.90650771691438,387,643,812,1137,"7,27"
4,057.png,606.0557069330911,916.184457979377,1.1787999615528375,678.5116880987454,288.96372664957795,425,572,907,1183,"8,12"
5,048.png,702.0597866729642,1426.711345954527,1.0499271375821035,780.9330162031414,317.4652413725603,438,1052,1043,1745,"10,13"
6,050.png,615.20964779728,566.5802626990585,1.1258022813758923,626.6551736102637,211.39685880327536,447,261,826,850,"7,83"
7,056.png,663.8076495971738,1118.4880568204685,1.1150040078550196,712.900538454385,290.0687588343705,433,784,948,1412,"9,56"
8,060.png,634.2019602608597,907.6972960604096,1.2590282884242139,689.5967685237733,307.1249223823038,500,539,927,1168,"8,5"
9,046.png,705.6563790537745,1366.6668398390377,1.1731647150044928,705.3924066675966,270.44454743365475,501,1017,936,1654,"6,62"
10,058.png,844.6324956146077,1290.7297235925587,1.2971038591655446,817.2138776563175,317.52607879175434,646,886,1063,1650,"8,61"
11,055.png,804.9835740394045,910.1580747971828,1.3584585501582351,876.6682780926019,310.90057775974833,609,455,1049,1278,"7,59"
12,053.png,592.2979934247818,972.9495748781318,1.121387440940481,592.784119922912,239.8863074925699,405,680,805,1218,"8,98"
13,052.png,396.2358647894551,553.0456367659793,0.9872625761561834,500.5911285240708,215.42247148354713,256,313,651,743,"9,75"
14,047.png,583.574600018934,1034.831013916501,1.060257184553992,710.3918213060265,261.0321637394571,363,706,881,1316,"6,34"
15,051.png,566.6570407580988,1135.3601811055296,0.9857195764612398,639.248597988718,267.4336417043539,326,838,807,1376,"10,3"
16,009.png,247.2802545095651,627.3216018143256,1.5157740202344727,402.31837587326777,180.72194570074674,156,469,379,846,"8,39"
17,001.png,710.6359065433494,561.5105903698749,1.050685620453178,731.1813558109263,260.0820547042973,483,212,971,889,"8,5"
18,011.png,317.2556146955732,482.1920842528885,-1.5033517186859842,482.54704499758174,203.00579315115112,227,289,476,745,"9,4"
19,004.png,321.3362004567477,648.8985337118221,-1.3108915045365979,454.45328810796735,173.5732301540281,203,462,464,861,"6,7"
20,006.png,474.31370906133714,255.95330096848124,-1.2451647568681445,565.874672163032,264.7083925576761,311,30,706,542,"8,64"
21,003.png,289.825707868348,710.9312028014077,-1.304173255213718,463.3600153032793,198.91425663955383,176,524,454,938,"8,2"
22,010.png,508.20485332319583,1050.3589304948362,-1.515852501834516,554.2786483115725,233.0313547911744,404,732,681,1359,"10,99"
23,005.png,388.7006806995497,1488.154152267253,-1.5290566437547293,502.5188218462845,143.23400809432812,317,1221,498,1753,"9,75"
24,002.png,252.441230890833,480.42975191765316,-1.339967409126832,451.1297005939598,186.88474281212052,164,252,399,728,"8,3"
25,008.png,292.585178688884,489.8145480916803,-1.3975763096347589,521.2914279797819,183.13250628051614,209,274,453,762,"9,5"
26,007.png,264.68332545417707,831.6304675716441,-1.4811363827677895,446.090856079339,168.81565647869388,191,619,395,1059,"8,06"
27,013.png,407.0935766201791,627.0350258857653,1.4972865507695166,487.47422885006097,183.97122784094435,314,423,556,886,"10,9"
28,021.png,691.4727242623351,1410.2795196681598,0.9822966538454959,716.3585212597882,261.8217416057633,435,1096,932,1682,"9,71"
29,019.png,599.8078046479563,1167.4317138658587,1.1113835729997554,657.1053624987669,254.8378947234182,413,829,840,1424,"8,04"
30,016.png,694.5536180847438,1303.3363310487587,1.1576246522442912,824.3200472289041,305.204462575117,448,885,947,1638,"9,97"
31,030.png,779.2390464541755,1342.2394703061423,1.0978625369517494,830.5389497497608,301.9714401550996,510,934,1050,1675,"7,08"
32,023.png,570.8386371479664,1138.734833669724,0.9627476730292153,631.6807987154219,242.27265041104678,362,850,868,1369,"5,73"
33,029.png,543.5155031365376,1129.646867390109,0.855573062749038,601.8313954046497,222.4750147673841,326,850,816,1329,"6,78"
34,018.png,634.0821680649887,1398.4980454826757,0.879693053762385,768.0217623441246,303.0710765056845,312,1079,933,1678,"8,88"
35,015.png,752.0315336923021,1422.89978653747,1.0718054750968469,887.8174784247333,269.83640034049574,474,1003,1049,1758,"7,5"
36,020.png,495.0582176902042,1130.5409542794348,0.8443989316337002,532.5958227168545,213.91321938586455,295,901,730,1308,"7,75"
37,022.png,637.9090723587841,1380.002543379561,1.0845952286262983,772.7594003479785,283.81226339440076,389,1007,935,1686,"8,61"
38,014.png,737.799381384451,1556.3082988736153,1.1883152613543402,808.5069741302561,301.94310141159247,508,1164,1033,1886,"8,01"
39,025.png,563.4530403757797,989.2678114599108,0.9779523195852209,660.7690524916059,284.2848617432245,299,675,804,1232,"8,79"
40,024.png,713.6646750100929,1429.7494348001615,1.0810011416155256,788.5213763039847,275.3303889238922,463,1047,990,1737,"11,31"
41,028.png,409.64011804141074,810.8974675626694,1.0563690365934892,511.09172383177935,202.48746065591178,254,562,613,1038,"10,07"
42,027.png,546.1238470708803,1189.0878526760505,1.0359488515615494,638.15501956836,238.2622715455105,343,890,797,1422,9
43,017.png,436.17031458382365,669.6563583588295,1.0701451379599711,477.9463424299319,217.69873089792242,265,447,645,858,"7,74"
44,031.png,697.3126452959689,1430.203920421299,1.002502262189391,766.8314667874998,258.3120986903954,444,1100,1021,1712,"6,81"
45,026.png,455.26645134707655,894.8279702805801,0.969058932111742,533.9167979882948,209.98727696011264,275,646,674,1084,"10,37"
